fid,org,N,mean_brier,mean_brier_ref,edge,mean_abs_dev_from_ref,N_real,mean_brier_real,edge_real,brier_rank,edge_rank,beta_ref,beta_fc,se_fc,fc_rank
Anthropic.claude_3_opus_superforecaster_with_news_1,ForecastBench,567,0.18663065082561728,0.06944069700619854,-0.11718995381941878,0.2614835514696649,562,0.18606686658029362,-0.11604110595680336,55,55,1.263923777838185,0.3245714457679384,0.13870926981134168,2.0
Anthropic.claude_3_opus_superforecaster_with_news_2,ForecastBench,567,0.198458959329806,0.06944069700619854,-0.12901826232360747,0.2542251492142857,567,0.198458959329806,-0.12901826232360747,74,74,1.3049114743076526,0.07466211306292746,0.1815451633406036,13.0
Anthropic.claude_3_opus_superforecaster_with_news_3,ForecastBench,567,0.20748722398589065,0.06944069700619854,-0.1380465269796921,0.2814855978622575,566,0.20741211307420496,-0.1378487994478541,83,83,1.3220574101996214,0.032230067264600926,0.18145688549287425,20.0
Anthropic.claude_3_opus_zero_shot,ForecastBench,567,0.17402120492063494,0.06944069700619854,-0.10458050791443639,0.219635478894709,563,0.17348139110124336,-0.10358455784744305,50,50,1.2954324568105537,0.09707293098316412,0.12793246075834194,9.0
Anthropic.claude_3_opus_zero_shot_with_freeze_values,ForecastBench,567,0.13304422678458644,0.06944069700619854,-0.06360352977838789,0.10895099481640211,564,0.13242212160790867,-0.06264921713647327,10,10,1.7753392515568354,-0.48286431157571685,0.21452799972007683,125.0
Anthropic.claude_3p5_sonnet_scratchpad,ForecastBench,567,0.15954613756613756,0.06944069700619854,-0.09010544055993903,0.20984756595220458,562,0.15874138790035588,-0.08872857960629081,32,32,1.3249142770463156,0.013068055477632814,0.19622950419101123,25.0
Anthropic.claude_3p5_sonnet_scratchpad_with_freeze_values,ForecastBench,567,0.11536829142235726,0.06944069700619854,-0.045927594416158735,0.08625814297089947,563,0.11441176063317329,-0.04452330723838721,3,3,1.7418902981329765,-0.47834317545827754,0.25472168873884055,124.0
Anthropic.claude_3p5_sonnet_scratchpad_with_news,ForecastBench,567,0.16512857142857143,0.06944069700619854,-0.09568787442237289,0.20927708649435628,564,0.16467712765957446,-0.09487557276260715,38,38,1.3590760769404635,-0.08011768712347157,0.17802457729531307,50.0
Anthropic.claude_3p5_sonnet_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.13805416436861773,0.06944069700619854,-0.0686134673624192,0.1368456850269841,566,0.13785638020672483,-0.06830140202317436,11,11,1.5061119733042148,-0.25788739786828285,0.17477935313675202,88.0
Anthropic.claude_3p5_sonnet_superforecaster_with_news_1,ForecastBench,567,0.17162109029982364,0.06944069700619854,-0.10218039329362509,0.21338119777971779,564,0.17120418120567374,-0.1013941927083075,45,45,1.3712463702086877,-0.08923464723901252,0.1279564236785872,52.0
Anthropic.claude_3p5_sonnet_superforecaster_with_news_2,ForecastBench,567,0.20844631040564374,0.06944069700619854,-0.1390056133994452,0.2663238002121693,562,0.208076615658363,-0.13851956544864438,84,84,1.327872033791312,0.004675583431109315,0.17176788433133758,29.0
Anthropic.claude_3p5_sonnet_superforecaster_with_news_3,ForecastBench,567,0.17076474074074074,0.06944069700619854,-0.10132404373454222,0.21618809547425044,564,0.1703432765957447,-0.10053730892652185,44,44,1.3832405786928508,-0.13343031072680894,0.181869344470871,64.0
