fid,org,N,mean_brier,mean_brier_ref,edge,mean_abs_dev_from_ref,N_real,mean_brier_real,edge_real,brier_rank,edge_rank,beta_ref,beta_fc,se_fc,fc_rank
OpenAI.gpt_4_turbo_0409_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.12356553154482594,0.06944069700619854,-0.0541248345386274,0.12512633124903,562,0.12244066972582973,-0.0524281437983127,7,7,1.3770446193383505,-0.06649087610110874,0.15463514114570104,45.0
OpenAI.gpt_4_turbo_0409_superforecaster_with_news_1,ForecastBench,567,0.16705563126790124,0.06944069700619854,-0.09761493426170272,0.21576598281957673,562,0.16631769204430605,-0.0962678607768879,41,41,1.3915337055242087,-0.12564911577309615,0.15394213905652346,61.0
OpenAI.gpt_4_turbo_0409_superforecaster_with_news_2,ForecastBench,567,0.20313340463955026,0.06944069700619854,-0.13369270763335173,0.25481412891269845,565,0.2029675051869469,-0.13328942261723087,77,77,1.3718338602927427,-0.13340902010501218,0.13748965613883243,63.0
OpenAI.gpt_4_turbo_0409_superforecaster_with_news_3,ForecastBench,567,0.15246703218694882,0.06944069700619854,-0.08302633518075032,0.20568027184850088,564,0.15194823980496452,-0.08218376893392808,26,26,1.3733415550676837,-0.11162357704942807,0.20330259246661755,58.0
OpenAI.gpt_4_turbo_0409_zero_shot,ForecastBench,567,0.1571743657495591,0.06944069700619854,-0.08773366874336055,0.20317899402557318,558,0.15567717810035842,-0.08516518719524421,31,31,1.3413324077829152,-0.02746403113212579,0.14066288693850407,37.0
OpenAI.gpt_4_turbo_0409_zero_shot_with_freeze_values,ForecastBench,567,0.11668289002833779,0.06944069700619854,-0.047242193022139264,0.08755776040687831,566,0.11644734743121472,-0.046892369247664246,4,4,1.458283050773705,-0.14298425743567222,0.13933526564740395,67.0
OpenAI.gpt_4_zero_shot,ForecastBench,567,0.19543676543209876,0.06944069700619854,-0.12599606842590025,0.2628985759514992,562,0.19495132740213522,-0.12494003145682463,71,71,1.3926884096407246,-0.20245796412993217,0.19048692306441461,81.0
OpenAI.gpt_4_zero_shot_with_freeze_values,ForecastBench,567,0.12179198657719426,0.06944069700619854,-0.05235128957099572,0.09228517383068782,567,0.12179198657719426,-0.05235128957099572,6,6,1.7187664785719674,-0.4088150876362689,0.19109802012547583,112.0
OpenAI.gpt_4o_scratchpad,ForecastBench,567,0.1534202570723104,0.06944069700619854,-0.08397956006611189,0.20420177610529103,561,0.1523873186452763,-0.08235079191285281,27,27,1.3802218758615978,-0.15216800155978935,0.194719567973786,70.0
OpenAI.gpt_4o_scratchpad_with_freeze_values,ForecastBench,567,0.09988917199358069,0.06944069700619854,-0.03044847498738216,0.07495625112751322,564,0.0990907101424827,-0.029326170672155472,1,1,1.4388536984180784,-0.12407197178706882,0.1819114143605252,60.0
OpenAI.gpt_4o_scratchpad_with_news,ForecastBench,567,0.14915224559082893,0.06944069700619854,-0.07971154858463039,0.19341303345696648,565,0.1487952623893805,-0.07911717981966448,20,20,1.3378490468276645,-0.01987671586663251,0.15151554930197017,34.0
OpenAI.gpt_4o_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.11900390755252468,0.06944069700619854,-0.04956321054632617,0.0974070294707231,566,0.11877246569307684,-0.049217487509526384,5,5,1.7263541439897263,-0.4621524743437437,0.19514980806261753,122.0
OpenAI.gpt_4o_superforecaster_with_news_1,ForecastBench,567,0.15514764291556438,0.06944069700619854,-0.08570694590936584,0.19255379115573193,565,0.15481188235951326,-0.08512808584027688,30,30,1.312973624835521,0.03147170527119314,0.12212335618744931,21.0
OpenAI.gpt_4o_superforecaster_with_news_2,ForecastBench,567,0.19551335768582892,0.06944069700619854,-0.1260726606796304,0.23046324213703703,566,0.1954170915333304,-0.12589066253705908,73,73,1.5589146755202021,-0.4527209218288177,0.15620870870872178,119.0
OpenAI.gpt_4o_superforecaster_with_news_3,ForecastBench,567,0.16644515687830688,0.06944069700619854,-0.09700445987210836,0.21740904228800706,566,0.16629753348056536,-0.0967425552970149,40,40,1.4899024294568084,-0.41166923878595874,0.19521989928122943,113.0
OpenAI.gpt_4o_zero_shot,ForecastBench,567,0.17434737389770724,0.06944069700619854,-0.1049066768915087,0.226363046440388,539,0.17041736734693877,-0.10478226266601924,51,51,1.3346816377795652,-0.014730782584968854,0.12477970769801705,33.0
OpenAI.gpt_4o_zero_shot_with_freeze_values,ForecastBench,567,0.15362010999022602,0.06944069700619854,-0.08417941298402751,0.12470384036331571,563,0.15293535055854027,-0.08325532407717619,28,28,1.5659894848934528,-0.3310767733755387,0.15378835684145867,102.0
Qwen.qwen_1p5_110b_scratchpad,ForecastBench,567,0.1718424603174603,0.06944069700619854,-0.10240176331126179,0.24045386281146386,566,0.17170437279151943,-0.10214939460796897,46,46,1.460473844176693,-0.4252811540055584,0.24706982038371195,115.0
Qwen.qwen_1p5_110b_scratchpad_with_freeze_values,ForecastBench,567,0.14917126745842946,0.06944069700619854,-0.07973057045223093,0.17222569021516757,558,0.1475449975787267,-0.07713169299570398,21,21,1.4847063026364347,-0.2884290819940429,0.19226195542079008,95.0
Qwen.qwen_1p5_110b_scratchpad_with_news,ForecastBench,567,0.1897872151675485,0.06944069700619854,-0.12034651816134999,0.26256872441216933,565,0.18957407256637168,-0.11988757132298307,61,61,1.414865232715856,-0.325402101696218,0.22585148880735081,100.0
Qwen.qwen_1p5_110b_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.1656897512797619,0.06944069700619854,-0.09624905427356337,0.20583215623827159,563,0.1650907441840586,-0.09520229078927255,39,39,1.4927968286486097,-0.37835759942328473,0.20532913445065384,110.0
Qwen.qwen_1p5_110b_superforecaster_with_news_1,ForecastBench,567,0.19351593125661373,0.06944069700619854,-0.12407523425041524,0.25021813455537917,563,0.1931146234857904,-0.12403832234457893,67,67,1.3752789992646566,-0.13688021837109085,0.12813936748954918,65.0
Qwen.qwen_1p5_110b_superforecaster_with_news_2,ForecastBench,567,0.2157854573536949,0.06944069700619854,-0.14634476034749636,0.2918559570114639,564,0.21560346510557624,-0.14626923015630938,90,90,1.4185148378233887,-0.37134355661697754,0.21165699902660565,109.0
Qwen.qwen_1p5_110b_superforecaster_with_news_3,ForecastBench,567,0.19541894058201062,0.06944069700619854,-0.12597824357581205,0.2720690461839506,566,0.19532250761484102,-0.12575912563159972,70,70,1.444571166291283,-0.47683074265975256,0.23169474895275233,123.0
Qwen.qwen_1p5_110b_zero_shot,ForecastBench,567,0.18760074955908293,0.06944069700619854,-0.11816005255288436,0.25035060024638445,554,0.1861365072202166,-0.11854157974726787,56,56,1.3222195096215126,0.02097706625984773,0.18408577160781456,22.0
Qwen.qwen_1p5_110b_zero_shot_with_freeze_values,ForecastBench,567,0.1621740165866177,0.06944069700619854,-0.09273331958041918,0.16268553448007053,553,0.1599505739685574,-0.0906288931810099,33,33,1.3765097457323894,-0.07801560698074042,0.13520820329437563,48.0
