round,n_cfg,n_q,dll_raw,dll_adj,dll_adj_se,n_rows_med,year
2024-07-21,130,256.0,0.001752206567200482,0.0008703723520329337,0.0002030680332527811,567.0,2024.554794520548
2025-03-02,32,206.0,0.0012652958856836918,0.00018770967878714014,0.00023150783848063517,464.0,2025.169406392694
2025-03-16,32,210.0,0.006536368336519461,0.00544941181478033,0.0009618909750321925,460.0,2025.2077625570778
2025-03-30,48,189.0,0.0027952600642767883,0.0015875305956777545,0.0005534856804236313,414.0,2025.2461187214612
2025-04-13,56,193.0,0.005824372830503223,0.004636724374446216,0.0005978775139059573,421.0,2025.2828767123287
2025-04-27,62,185.0,0.002796917669865266,0.0015949945929421888,0.00047545421997155534,416.0,2025.3212328767124
2025-05-11,68,190.0,0.011887162111566606,0.010679432642967572,0.0015869235213474503,414.0,2025.3607305936073
2025-05-25,68,212.0,0.003957298219725458,0.002911273115122948,0.00046477474631527845,478.0,2025.3990867579907
2025-06-08,36,201.0,0.0013582428225055712,0.00027364412402400935,0.00025184043734732326,461.0,2025.4358447488585
2025-06-22,32,218.0,0.006290721292053633,0.00527239135315343,0.0013435109598849506,491.0,2025.4742009132422
2025-08-03,36,209.0,0.00283209415260076,0.001725899462335273,0.0005239195051802095,452.0,2025.588812785388
2025-08-17,30,218.0,0.002531355787209076,0.0015273397229520482,0.00040500155708309465,498.0,2025.6271689497717
2025-08-31,44,187.0,0.005136484760179136,0.003937443992793045,0.0009720018610843633,417.0,2025.6655251141551
2025-10-26,42,104.0,0.002383435874662226,-0.002424256433030082,0.0004846792332257677,104.0,2025.8184931506848
2025-11-09,42,102.0,0.006910270843301322,0.002008310058987596,0.001520360475673779,102.0,2025.8552511415523
2025-11-23,48,104.0,0.0034871398546880415,-0.0013205524530042663,0.0008329435527106242,104.0,2025.893607305936
2025-12-07,48,95.0,0.002821545425053269,-0.002441612469683573,0.0004879107388509567,95.0,2025.9331050228311
2025-12-21,48,99.0,0.006458451463798884,0.0014079464132938327,0.001376247890392794,99.0,2025.9714611872148
2026-01-04,48,50.0,0.015013698815875417,0.005013698815875415,0.0024412777830903386,50.0,2026.0082191780823
2026-03-01,49,106.0,0.0020470046407764365,-0.002669976491299035,0.00039161301306166315,106.0,2026.1666666666667
2026-03-15,44,117.0,0.00380944918052864,-0.00046405509297563403,0.0007375499266496747,117.0,2026.2050228310502
2026-03-29,52,102.0,0.002584358733309836,-0.0023176020510038892,0.00045182637680233674,102.0,2026.2433789954339
2026-04-12,54,80.0,0.002838996018593717,-0.003411003981406283,0.0004468149741820224,80.0,2026.2801369863014
2026-04-26,54,76.0,0.003338148412012411,-0.003240798956408641,0.0007289969974322308,76.0,2026.3184931506848
2026-05-10,42,53.0,0.007583754186205478,-0.0018502080779454653,0.0012596320086911447,53.0,2026.35799086758
